Date,Open,High,Low,Close,Volume
2023-10-13,38.7026,40.956,38.2381,39.5229,9037
2023-10-16,38.5543,39.8293,37.0719,39.5427,5939
2023-10-17,40.3136,41.2623,39.2462,39.345,3763
2023-10-18,41.0054,41.0054,39.3351,39.4438,2306
2023-10-19,38.5939,39.9676,38.0503,39.5624,8092
2023-10-20,40.274,40.274,38.2974,38.4259,1020
2023-10-23,39.513,39.513,36.5678,37.3189,3889
2023-10-25,39.3746,39.5229,37.566,38.9596,4457
2023-10-26,39.5229,42.9919,37.5561,40.3136,5692
2023-10-27,40.5211,40.5211,38.3468,39.513,1986
2023-10-30,39.513,40.5211,39.0584,40.4223,2686
2023-10-31,41.2623,41.4995,38.7915,39.5822,1925
2023-11-01,39.5822,39.5822,38.5445,39.434,1606
2023-11-02,38.5741,40.5112,38.0009,38.2381,7150
2023-11-03,39.5229,40.0269,37.5561,39.009,7395
2023-11-06,38.3073,39.8787,38.3073,38.7718,2839
2023-11-07,40.5013,40.5013,37.7637,38.7322,7444
2023-11-08,38.4061,39.8886,38.4061,38.8508,1762
2023-11-09,40.1653,40.1653,36.0638,38.0207,18484
2023-11-10,38.5445,39.2956,38.0503,38.1986,2032
2023-11-13,39.1375,39.1375,38.0997,38.2084,2750
2023-11-15,38.2084,40.9065,38.2084,39.513,15874
2023-11-16,40.4915,40.4915,38.3172,38.6729,4681
2023-11-17,39.4438,39.8589,38.3468,38.7915,3555
2023-11-20,39.5526,39.9479,38.6729,39.5328,4359
2023-11-21,39.5328,39.9973,38.6927,38.8805,3543
2023-11-22,38.841,39.938,38.6038,39.4142,6152
2023-11-23,39.4834,39.9578,38.2974,39.0189,6171
2023-11-24,39.3549,39.5229,38.3073,38.6235,4129
2023-11-28,39.0386,39.5229,38.0503,38.8212,3685
2023-11-29,40.4124,42.9128,39.345,39.6415,30018
2023-11-30,39.9281,40.3136,38.9892,39.0584,1903
2023-12-01,38.8508,40.4124,38.7915,38.9497,13157
2023-12-04,38.8904,41.4798,38.5543,39.5328,11099
2023-12-05,39.6909,40.7188,38.8508,39.4834,19418
2023-12-06,39.8392,40.0269,39.0485,39.5229,20835
