INDEX_NAME,STOCK_SYMBOL
NIFTY INDIA DEFENCE,COCHINSHIP
NIFTY INDIA DEFENCE,BEL
NIFTY INDIA DEFENCE,UNIMECH
NIFTY INDIA DEFENCE,SOLARINDS
NIFTY INDIA DEFENCE,CYIENTDLM
NIFTY INDIA DEFENCE,MAZDOCK
NIFTY INDIA DEFENCE,DYNAMATECH
NIFTY INDIA DEFENCE,HAL
NIFTY INDIA DEFENCE,BDL
NIFTY INDIA DEFENCE,MIDHANI
NIFTY INDIA DEFENCE,PARAS
NIFTY INDIA DEFENCE,GRSE
NIFTY INDIA DEFENCE,BEML
NIFTY INDIA DEFENCE,MTARTECH
NIFTY INDIA DEFENCE,DATAPATTNS
NIFTY MIDCAP SELECT,INDUSTOWER
